slug_id,article_date,title,section,subsection,word_count,authors,url
23evening-briefing-web,2023-01-23 18:13:21,Your Monday Evening Briefing,Briefing,,8011, MATTHEW CULLEN,https://www.nytimes.com/2023/01/23/briefing/california-shooting-monterey-park-fda-covid-booster.html
23-Russia-Ukraine-Briefing-web,2023-01-23 17:50:00,Pressure Mounts on Germany,Briefing,,3648, ADAM PASICK,https://www.nytimes.com/2023/01/23/briefing/pressure-mounts-on-germany.html
24ambriefing-asia-web,2023-01-23 16:01:40,"Your Tuesday Briefing: California Mourns, as Death Toll Rises",Briefing,,6136, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/23/briefing/monterey-park-shooting-china-asian.html
23themorning-ambriefing-web,2023-01-23 06:33:38,Mass Shooting in California,Briefing,,5152, GERMAN LOPEZ,https://www.nytimes.com/2023/01/23/briefing/california-shooting-monterey-park.html
23ambriefing-europe-web,2023-01-23 00:01:03,Your Monday Briefing,Briefing,,6996, NATASHA FROST,https://www.nytimes.com/2023/01/23/briefing/shooting-los-angeles-zelensky-ukraine.html
23ambriefing-asia-web,2023-01-22 16:01:04,Your Monday Briefing: A Lunar New Year Shooting,Briefing,,5829, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/22/briefing/mass-shooting-lunar-california.html
22themorning-ambriefing-web,2023-01-22 07:34:29,Peru’s Deadly Protests,Briefing,,9183, LAUREN JACKSON,https://www.nytimes.com/2023/01/22/briefing/peru-protests.html
21-themorning-ambriefing-web,2023-01-21 06:18:01,Rian Johnson’s New Old Show,Briefing,,7452, MELISSA KIRSCH,https://www.nytimes.com/2023/01/21/briefing/poker-face-streaming.html
20evening-briefing-web,2023-01-20 17:45:53,Your Friday Evening Briefing,Briefing,,7858, MATTHEW CULLEN,https://www.nytimes.com/2023/01/20/briefing/ukraine-allies-tanks-tennis-australian-open.html
20-Russia-Ukraine-Briefing-web,2023-01-20 17:29:00,The Push for Tanks Falls Short,Briefing,,3524, ADAM PASICK,https://www.nytimes.com/2023/01/20/briefing/the-push-for-tanks-falls-short.html
20themorning-ambriefing-web,2023-01-20 06:47:43,Routine Crisis,Briefing,,8301, GERMAN LOPEZ,https://www.nytimes.com/2023/01/20/briefing/debt-limit-default-congress.html
news-quiz-debt-limit-peru-protests,2023-01-20 05:01:01,"The New York Times News Quiz, January 20, 2023",Briefing,,0,,https://www.nytimes.com/interactive/2023/01/20/briefing/news-quiz-debt-limit-peru-protests.html
20ambriefing-europe-web,2023-01-20 00:17:43,Your Friday Briefing,Briefing,,7383, NATASHA FROST,https://www.nytimes.com/2023/01/20/briefing/ukraine-meeting-germany-debt-limit.html
19evening-briefing-web,2023-01-19 18:00:17,Your Thursday Evening Briefing,Briefing,,8202, MATTHEW CULLEN,https://www.nytimes.com/2023/01/19/briefing/us-debt-limit-alec-baldwin-rust.html
20ambriefing-asia-web,2023-01-19 16:10:09,Your Friday Briefing: Ardern’s Exit,Briefing,,6044, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/19/briefing/ardern-zealand-debt-us-asia.html
19themorning-ambriefing-web,2023-01-19 06:11:48,Betting on Gotham,Briefing,,7919, NICHOLAS F-OS,https://www.nytimes.com/2023/01/19/briefing/casinos-gambling-new-york-city.html
19ambriefing-europe-web,2023-01-19 00:54:14,Your Thursday Briefing,Briefing,,7949, NATASHA FROST,https://www.nytimes.com/2023/01/19/briefing/ukraine-ardern-israel.html
18evening-briefing-web,2023-01-18 18:00:10,Your Wednesday Evening Briefing,Briefing,,8072, MATTHEW CULLEN,https://www.nytimes.com/2023/01/18/briefing/ukraine-helicopter-crash-microsoft-layoffs.html
18virus-briefing-web,2023-01-18 17:59:38,The State of the Virus,Briefing,,8241, JONATHAN WOLFE,https://www.nytimes.com/2023/01/18/briefing/the-state-of-the-virus.html
16ambriefing-europe-web,2023-01-16 00:11:48,Your Monday Briefing,Briefing,,8209, NATASHA FROST,https://www.nytimes.com/2023/01/16/briefing/strike-dnipro-world-economic-forum.html
16ambriefing-asia-web,2023-01-15 16:03:45,Your Monday Briefing: A Fatal Plane Crash in Nepal,Briefing,,6166, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/15/briefing/nepal-plane-crash-dead-asia.html
15themorning-ambriefing-web,2023-01-15 07:20:06,Israel Moves Right,Briefing,,7920, IAN PRASAD PHILBRICK,https://www.nytimes.com/2023/01/15/briefing/netanyahu-israel-protests.html
14-themorning-ambriefing-web,2023-01-14 06:27:38,Cinema Studies,Briefing,,6477, MELISSA KIRSCH,https://www.nytimes.com/2023/01/14/briefing/golden-globes-oscars.html
13evening-briefing-web,2023-01-13 17:45:23,Your Friday Evening Briefing,Briefing,,8427, MATTHEW CULLEN,https://www.nytimes.com/2023/01/13/briefing/biden-japan-military-debt-limit-yellen.html
13russia-ukraine-briefing-web,2023-01-13 16:40:15,"A Small, Disputed Victory",Briefing,,4209, CAROLE L-RY,https://www.nytimes.com/2023/01/13/briefing/russia-ukraine-war-soledar.html
news-quiz-california-biden,2023-01-13 05:01:01,"The New York Times News Quiz, January 13, 2023",Briefing,,0,,https://www.nytimes.com/interactive/2023/01/13/briefing/news-quiz-california-biden.html
12evening-briefing-web,2023-01-12 17:56:38,Your Thursday Evening Briefing,Briefing,,8346, MATTHEW CULLEN,https://www.nytimes.com/2023/01/12/briefing/biden-classified-files-special-counsel-52-places.html
12ambriefing-europe-web,2023-01-12 00:06:23,Your Thursday Briefing,Briefing,,7133, NATASHA FROST,https://www.nytimes.com/2023/01/12/briefing/biden-documents-israel-government.html
11evening-briefing-web,2023-01-11 17:51:05,Your Wednesday Evening Briefing,Briefing,,8319, MATTHEW CULLEN,https://www.nytimes.com/2023/01/11/briefing/faa-flight-delays-george-santos-congress.html
11virus-briefing-web,2023-01-11 17:06:58,The ‘Kraken’ Subvariant,Briefing,,7054, JONATHAN WOLFE,https://www.nytimes.com/2023/01/11/briefing/the-kraken-subvariant.html
11russia-ukraine-briefing-web,2023-01-11 16:59:58,Putin’s Military Reshuffle,Briefing,,3794, CAROLE L-RY,https://www.nytimes.com/2023/01/11/briefing/russia-ukraine-war-gerasimov.html
12ambriefing-asia-web,2023-01-11 16:09:09,Your Thursday Briefing: A Russian Military Shake-Up,Briefing,,6833, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/11/briefing/russia-brazil-pell-reaction-australia.html
11ambriefing-europe-web,2023-01-11 00:57:58,Your Wednesday Briefing,Briefing,,7028, NATASHA FROST,https://www.nytimes.com/2023/01/11/briefing/peru-killings-brazil-russia.html
11ambriefing-asia-web,2023-01-10 15:50:53,Your Wednesday Briefing: Shanghai’s Devastating Outbreak,Briefing,,5216, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/10/briefing/shanghai-covid-spare-asia.html
07-the-morning,2023-01-06 18:44:06,07-the-morning,Briefing,,,,https://static01.nyt.com/slideshow/2023/01/06/briefing/07-the-morning.html
09russia-ukraine-briefing-web,2023-01-09 17:22:28,Going Toe to Toe in Bakhmut,Briefing,,4056, CAROLE L-RY,https://www.nytimes.com/2023/01/09/briefing/russia-ukraine-war-bakhmut.html
07-themorning-ambriefing-web,2023-01-07 06:21:21,Broken Promises,Briefing,,6511, MELISSA KIRSCH,https://www.nytimes.com/2023/01/07/briefing/new-years-resolutions.html
06russia-ukraine-briefing-web,2023-01-06 17:09:14,Ukraine Gets ‘Tank Killers’,Briefing,,3486, CAROLE L-RY,https://www.nytimes.com/2023/01/06/briefing/russia-ukraine-war-tanks.html
news-quiz-house-speaker-vote-damar-hamlin,2023-01-06 05:00:02,"The New York Times News Quiz, January 6, 2023",Briefing,,0,,https://www.nytimes.com/interactive/2023/01/06/briefing/news-quiz-house-speaker-vote-damar-hamlin.html
05evening-briefing-web,2023-01-05 18:05:47,Your Thursday Evening Briefing,Briefing,,8350, MATTHEW CULLEN,https://www.nytimes.com/2023/01/05/briefing/house-speaker-election-vladimir-putin-cease-fire.html
05ambriefing-europe-web,2023-01-05 00:24:28,Your Thursday Briefing,Briefing,,6753, NATASHA FROST,https://www.nytimes.com/2023/01/05/briefing/russian-strike-sunak-promises.html
04evening-briefing-web,2023-01-04 17:50:33,Your Wednesday Evening Briefing,Briefing,,8244, MATTHEW CULLEN,https://www.nytimes.com/2023/01/04/briefing/house-speaker-vote-damar-hamlin-bills.html
04virus-briefing-web,2023-01-04 17:28:54,China’s unfolding tragedy,Briefing,,7064, JONATHAN WOLFE,https://www.nytimes.com/2023/01/04/briefing/chinas-unfolding-tragedy.html
04russia-ukraine-briefing-web,2023-01-04 16:07:41,Moscow Blames Its Own Troops,Briefing,,4180, CAROLE L-RY,https://www.nytimes.com/2023/01/04/briefing/russia-ukraine-war-makiivka-drones.html
05ambriefing-asia-web,2023-01-04 15:58:09,Your Thursday Briefing: Russia Blames its Dead Soldiers,Briefing,,5225, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/04/briefing/russia-soldiers-cellphones-asia.html
04ambriefing-europe-web,2023-01-04 00:42:12,Your Wednesday Briefing,Briefing,,5791, NATASHA FROST,https://www.nytimes.com/2023/01/04/briefing/ukraine-drones-china-covid.html
03evening-briefing-web,2023-01-03 17:55:22,Your Tuesday Evening Briefing,Briefing,,8175, MATTHEW CULLEN,https://www.nytimes.com/2023/01/03/briefing/kevin-mccarthy-house-speaker-bid-oregon-mushrooms.html
04ambriefing-asia-web,2023-01-03 16:09:35,Your Wednesday Briefing: Chaos in the U.S. House Speaker Race,Briefing,,5784, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/03/briefing/us-house-speaker-mccarthy-asia.html
02russia-ukraine-briefing-web,2023-01-02 16:03:41,A Lethal Start to 2023,Briefing,,5059, CAROLE L-RY,https://www.nytimes.com/2023/01/02/briefing/russia-ukraine-war-bucha.html
